run,acc,macro_f1,nll,ece
1,0.9886666666666667,0.9886344232714732,0.03479262595375379,0.004398672242959305
2,0.989,0.9889909591745121,0.027525200247764586,0.004535506109396608
3,0.988,0.9879971569187284,0.0313597989877065,0.0045382504463195635
4,0.9896666666666667,0.9896624458064519,0.03411285281181335,0.007144513905048376
5,0.9886666666666667,0.9886697308896221,0.03221038496494293,0.0028907832105954908
6,0.9893333333333333,0.9893252104324705,0.02760231280326843,0.003937874138355221
7,0.9836666666666667,0.9836590944082085,0.047338107564797005,0.0049599395990371775
8,0.9873333333333333,0.9873118330337965,0.04162687760932992,0.004487259209156019
9,0.9866666666666667,0.9866596998253279,0.03188977976640066,0.00494797219832738
10,0.9896666666666667,0.98966464641162,0.030788350184758503,0.009544134179751057
---,---,---,---,---
mean,0.9880666666666666,0.9880575200172211,0.033924629089453574,0.005138490523894619
std,0.0017371752294393819,0.001737939904330239,0.005869012694003542,0.0017801961418256464
